STATE,LGA,COMMUNITY,DATE_OF_OCCURRENCE,PERSONS_AFFECTED,DISPLACED_PERSONS,DATE,YEAR,MONTH,SEASON,SEVERITY_RATIO
Ogun,Ewekoro,lsewo-Dotun,2022-09-05 00:00:00,379,0,2022-09-05,2022.0,9.0,Rainy,0.0
Ogun,Obafemi-Owode,"Abufe-Qke,Adigbe,Owode",2022-10-05 00:00:00,715,0,2022-10-05,2022.0,10.0,Rainy,0.0
Ogun,Ifo,Arigbajo,2022-06-06 00:00:00,653,0,2022-06-06,2022.0,6.0,Rainy,0.0
Ogun,Imeko-Afon,"Agbote,lsale Oja Lafenwa",21/06/2022,461,0,2022-06-21,2022.0,6.0,Rainy,0.0
Ogun,Ado-Odo/Ota,Konifewo,30/06/2022,407,0,2022-06-30,2022.0,6.0,Rainy,0.0
Ogun,Ijebu East,Ogbere,2022-06-07 00:00:00,386,0,2022-06-07,2022.0,6.0,Rainy,0.0
Ogun,Odeda,"Odeda Town Obantoko,Gbonagon",17/07/2022,386,0,2022-07-17,2022.0,7.0,Rainy,0.0
Osun,Irewole,"lkire, Wasimi, Balogun, Kobo, Asejire",2022-07-06 00:00:00,87,21,2022-07-06,2022.0,7.0,Rainy,0.2413793103448276
Osun,Aiyedade,"Gbongan, Ode-Omu, Oogi, Orile-Gwu",2022-07-07 00:00:00,134,41,2022-07-07,2022.0,7.0,Rainy,0.30597014925373134
Osun,Egbedore,"Awo, Ara, Dada Estate, Ofatedo, ldo-Osun",14/07/2022,86,32,2022-07-14,2022.0,7.0,Rainy,0.37209302325581395
Osun,Ejigbo,"Ejigbo, /sundunrin, lf Odan, Masifa, Oguro,",14/07/2022,302,98,2022-07-14,2022.0,7.0,Rainy,0.32450331125827814
Osun,Ede North,"Ede, Owode, Araromi, Sekona, Akod",18/07/2022,138,75,2022-07-18,2022.0,7.0,Rainy,0.5434782608695652
Osun,Ilesha West,"lrojo, Sabo, Wesley, Bolorunduro, Olomilagbala, Omiru, Kajola",2022-07-09 00:00:00,636,76,2022-07-09,2022.0,7.0,Rainy,0.11949685534591195
Osun,Ife Central,"lfe, Oke-Ogbo, lremo, Mokuro,Opa",2022-07-10 00:00:00,123,305,2022-07-10,2022.0,7.0,Rainy,2.4796747967479673
Osun,Oriade,"ijebu-Jesa, Owena, lkeji, lwoye,",2022-07-10 00:00:00,213,92,2022-07-10,2022.0,7.0,Rainy,0.431924882629108
Osun,Osogbo,"Osogbo, Hie, Oba,Gbonmi, Oke-Bale",2022-07-10 00:00:00,305,205,2022-07-10,2022.0,7.0,Rainy,0.6721311475409836
Osun,Boluwaduro,"Otan Ayegbaju, Eripa, lresi, fgbajo, Oke-frun",2022-07-10 00:00:00,239,68,2022-07-10,2022.0,7.0,Rainy,0.28451882845188287
Oyo,Oyo East,Koso Area,2022-01-03 00:00:00,100,7,2022-01-03,2022.0,1.0,Dry,0.07
Oyo,Orelope,lgboho,2022-04-03 00:00:00,130,40,2022-04-03,2022.0,4.0,Rainy,0.3076923076923077
Oyo,Ogo Oluwa,Ajaawa,2022-01-04 00:00:00,135,25,2022-01-04,2022.0,1.0,Dry,0.18518518518518517
Oyo,Olorunsogo,lgbeti,2022-01-04 00:00:00,130,50,2022-01-04,2022.0,1.0,Dry,0.38461538461538464
